movie,processed_movie,Associated Music Genres
   Anastasia (1997),anastasia,"acoustic,country,folk,piano,ambient,classical,pop,epic,singer-songwriter,rock,indie-pop,world-music,opera,alternative,symphony,indie"
   Frozen (Franchise),frozen,"acoustic,folk,ambient,new-age,alternative,world-music,rock"
   Paul Blart: Mall Cop (2009),paul blart: mall cop,"punk,reggae,dubstep,hard-rock,trap,drum-and-bass,grime,hip-hop,rock,metal,electronic"
   Mean Streets (1973),mean streets,"acoustic,piano,reggae,ambient,dubstep,singer-songwriter,synthwave,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,dark-ambient,chill,electronic,indie"
   Uptown girls (2003),uptown girls,"acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Corpse Bride (2005),corpse bride,"acoustic,piano,folk,children,pop,singer-songwriter,rock,indie-pop,kids,alternative,upbeat,indie,fun"
   Maze Runner,maze runner,
   Oliver & Company (1988),oliver & company,"acoustic,folk,ambient,new-age,alternative,world-music,rock"
   The Prestige (2006),the prestige,"acoustic,piano,chill,ambient,synth-pop,singer-songwriter,synthwave,retro,rock,indie-pop,downtempo,space,alternative,dark-ambient,trip-hop,electronic,indie"
   Ghost (1990),ghost,"acoustic,piano,folk,ambient,romantic,epic-fantasy,singer-songwriter,soundtrack,pop,rock,indie-pop,alternative,world-music,r-n-b,indie,soul"
   Only Lovers Left Alive (2013),only lovers left alive,"acoustic,piano,folk,ambient,epic-fantasy,singer-songwriter,soundtrack,rock,indie-pop,alternative,world-music,indie"
   Empire Records (1995),empire records,"acoustic,jazz,piano,funk,blues,pop,singer-songwriter,rock,indie-pop,hip-hop,alternative,r-n-b,indie,soul"
   The Cabin in the Woods (2012),the cabin in the woods,"darkwave,chill,ambient,dubstep,synthwave,downtempo,drum-and-bass,dark-ambient,noise,metal,trip-hop,electronic,industrial"
   Percy Jackson (film series 2010-2013),percy jackson,"dubstep,indie,rock,pop"
   Starship Troopers (1997),starship troopers,"acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,chill,synth-pop,retro,synthwave,drum-and-bass,space,new-age,rock,metal,world-music,electronic"
   Hunt for the Wilderpeople (2016),hunt for the wilderpeople,"acoustic,indie,folk,ambient,piano,singer-songwriter,indie-pop,new-age,alternative,world-music,rock"
   Wedding Crashers (2005),wedding crashers,"folk,romantic,pop,singer-songwriter,r-n-b,indie,soul"
   Gone Girl (2014),gone girl,"acoustic,piano,chill,ambient,dubstep,singer-songwriter,synthwave,rock,indie-pop,downtempo,drum-and-bass,alternative,dark-ambient,trip-hop,electronic,indie"
   Wolfwalkers (2020),wolfwalkers,"acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,drum-and-bass,new-age,rock,metal,world-music,electronic"
   Natural Born Killers (1994),natural born killers,"acoustic,piano,punk,reggae,dubstep,hard-rock,alternative,singer-songwriter,trap,indie-pop,drum-and-bass,grime,hip-hop,rock,metal,electronic,indie"
   Legends of the Fall (1994),legends of the fall,"acoustic,piano,folk,patriotic,punk,romantic,pop,singer-songwriter,soundtrack,rock,indie-pop,alternative,metal,world-music,r-n-b,indie,soul"
   Tropic Thunder (2008),tropic thunder,"punk,patriotic,dubstep,hard-rock,alternative,soundtrack,drum-and-bass,rock,metal,world-music,electronic"
   Crazy Rich Asians (2018),crazy rich asians,"acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Vicky Cristina Barcelona,vicky cristina barcelona,"acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   The Florida Project (2017),the florida project,"indie,singer-songwriter,acoustic,indie-pop"
   The Sisterhood of the Traveling Pants (2005),the sisterhood of the traveling pants,"acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Jumanji (Reboot),jumanji,"acoustic,folk,ambient,upbeat,children,pop,singer-songwriter,kids,new-age,alternative,world-music,rock,fun"
