track_name,track_id,artist_name,artist_id
Comfortable,3182454,Bebe Rexha,104044
Pillow,3620812,Bebe Rexha,104044
Sad,3611707,Bebe Rexha,104044
Better Mistakes,5360917,Bebe Rexha,104044
Sweet Beginnings,1786651,Bebe Rexha,104044
Mine,3620810,Bebe Rexha,104044
Amore,6013023,Bebe Rexha,104044
Satellite,8809691,Bebe Rexha & Snoop Dogg,3503086
Cry Wolf,2855649,Bebe Rexha,104044
Girl in the Mirror,4400395,Bebe Rexha,104044
My Dear Love,6348483,Bebe Rexha,104044
In the Name of Love (The Him Remix),2952882,Martin Garrix & Bebe Rexha,1296302
Mama,6782038,Bebe Rexha,104044
Gone,643338,Bebe Rexha,104044
Heart Wants What It Wants,8683601,Bebe Rexha,104044
Trust Fall,6708035,Bebe Rexha,104044
Death Row,6348484,Bebe Rexha,104044
One in a Million,8987253,David Guetta & Bebe Rexha,3270247
Seasons,8607361,Bebe Rexha & Dolly Parton,3488546
In the Name of Love (DallasK Remix),3036724,Martin Garrix & Bebe Rexha,1296302
Monster Under My Bed,339642,Bebe Rexha,104044
Pray,1786655,Bebe Rexha,104044
Call on Me,8818305,Bebe Rexha,104044
Human,2845649,Bebe Rexha,104044
Beautiful Life,4864820,Bebe Rexha,104044
Stars,8733841,"PNAU, Bebe Rexha & Ozuna",3410298
Chain My Heart,6846424,Topic & Bebe Rexha,2748226
On the Go,6708031,Bebe Rexha,104044
Don’t Exist*,7261852,Bebe Rexha,104044
You’re a Bitch,2269460,Bebe Rexha,104044
The Way I Are (Dance With Somebody) [Solo],3108411,Bebe Rexha,104044
"Baby, I’m Jealous (Remix)",6196982,Bebe Rexha,104044
Naughty,2456942,Bebe Rexha,104044
Ride Till You Die,287715,Bebe Rexha,104044
Bad Bitches Don’t Cry,2576810,Bebe Rexha,104044
Miracle Man,8809693,Bebe Rexha,104044
Empty,6665883,Bebe Rexha,104044
Taste,3720642,Tyga,554
Ayo,640182,Chris Brown & Tyga,322517
Rack City,52561,Tyga,554
Stimulated,2290047,Tyga,554
Molly,112836,Tyga,554
Hookah,382154,Tyga,554
Dip,4045936,Tyga & Nicki Minaj,1675760
Faded,62711,Tyga,554
Switch Lanes,85596,Tyga,554
Love Game,66117,Tyga,554
Dope,110781,Tyga,554
Ayy Macarena,4905854,Tyga,554
For the Road,133463,Tyga,554
Ice Cream Man,2289963,Tyga,554
Bitches N Marijuana,699083,Chris Brown & Tyga,322517
Chiraq To LA,422672,Tyga,554
Juicy,4671874,Doja Cat & Tyga,2006186
I’m Gone,65950,Tyga,554
Do My Dance,83686,Tyga,554
1 of 1,2551326,Tyga,554
Show You,132878,Tyga,554
Ride Out,703483,"Kid Ink, Tyga, YG, Wale & Rich Homie Quan",2034079
Wait For a Minute,214635,Tyga & Justin Bieber,2036690
Muthafucka Up,65917,Tyga,554
Make It Work,556055,Tyga,554
Remember Me,706104,Chris Brown & Tyga,322517
SWISH,3859999,Tyga,554
Bored in the House,5393286,Tyga,554
500 Degrees,132874,Tyga,554
Feel Me,2944823,Tyga,554
Pleazer,2136857,Tyga,554
Still Got It,56395,Tyga,554
Chosen,6233525,Blxst & Tyga,3013936
Nothin’ Like Me,697327,Chris Brown & Tyga,322517
40 Mill,540571,Tyga,554
Hijack,132882,Tyga,554
Hit em Up,135360,Tyga,554
Glitta,2287564,Tyga,554
Bouncin’ on My Dick,61947,Tyga,554
Make It Nasty,56745,Tyga,554
Lights Out,706306,Chris Brown & Tyga,322517
